,0
average_syll_pause_duration,0.5812167832167838
No._long_pause,64.45181818181818
speaking_time,64.45
ave_No._of_words_in_minutes,2.7374002818613192
articulation_rate,4.763076490438696
No._words_in_minutes,144.9893556120511
formants_index,345.55683673469383
f0_index,0.9958496412905802
f0_quantile_25_index,1.0964167934667004
f0_quantile_50_index,114.12997335474348
f0_quantile_75_index,0.8695078956128918
f0_std,20.8929885024098
f0_max,392.5738871954472
f0_min,79.6862588168595
No._detected_vowel,43.0
perc%._correct_vowel,0.7666666666666667
(f2/f1)_mean,2.570604226446457
(f2/f1)_std,0.6090049768615228
no._of_words,156.0
no._of_pauses,13.0
intonation_index,7.0
(voiced_syll_count)/(no_of_pause),20.846153846153847
TOEFL_Scale_Score,28.0
Score_Shannon_index,3.74
speaking_rate,4.204691312749482
