,0
average_syll_pause_duration,0.511238095238095
No._long_pause,36.43681818181818
speaking_time,71.96
ave_No._of_words_in_minutes,2.478739094683091
articulation_rate,4.313006024748578
No._words_in_minutes,126.81375283965158
formants_index,382.7220861678004
f0_index,0.997426255239107
f0_quantile_25_index,1.0556501231135322
f0_quantile_50_index,207.0790832263258
f0_quantile_75_index,0.946128792676479
f0_std,33.852798915044104
f0_max,386.9533886381105
f0_min,75.83354075925925
No._detected_vowel,64.0
perc%._correct_vowel,0.5
(f2/f1)_mean,2.3559537745429493
(f2/f1)_std,0.5632871769919477
no._of_words,154.0
no._of_pauses,21.0
intonation_index,7.0
(voiced_syll_count)/(no_of_pause),12.761904761904765
TOEFL_Scale_Score,26.0
Score_Shannon_index,3.325
speaking_rate,3.677598832349896
