,0
average_syll_pause_duration,0.9638989898989896
No._long_pause,6.287967914438503
speaking_time,77.8
ave_No._of_words_in_minutes,2.614797764845537
articulation_rate,4.549748110831234
No._words_in_minutes,93.22676332455026
formants_index,352.52226843100186
f0_index,1.0526148949814838
f0_quantile_25_index,1.051144235755866
f0_quantile_50_index,213.91517165974216
f0_quantile_75_index,1.015303252417039
f0_std,46.09132869782766
f0_max,410.238995775321
f0_min,77.98204958623643
No._detected_vowel,158.0
perc%._correct_vowel,0.7659574468085106
(f2/f1)_mean,3.0347253218503427
(f2/f1)_std,0.8307644242526183
no._of_words,166.0
no._of_pauses,45.0
intonation_index,7.0
(voiced_syll_count)/(no_of_pause),6.422222222222223
TOEFL_Scale_Score,21.0
Score_Shannon_index,2.64
speaking_rate,2.7035761364119573
