,average_syll_pause_duration,speaking_time,articulation_rate,No._words_in_minutes,f0_quantile_50_index,f0_std,f0_max,f0_min,no._of_words,speaking_rate,Gender_Female,Gender_Male,Educated_False,Educated_True
0,0.791158562,52.83,5.041973792,92.9393141,180.7314206,37.53711111,410.1670479,70.40981874,113,2.695240109,1.0,0.0,0.0,1.0
1,0.751524793,69.78,3.996346027,108.3450846,228.3916159,39.22652523,394.1238061,76.97042625,140,3.142007452,1.0,0.0,0.0,1.0
2,0.511238095,71.96,4.313006025,126.8137528,207.0790832,33.85279892,386.9533886,75.83354076,154,3.677598832,1.0,0.0,1.0,0.0
3,0.96389899,77.8,4.549748111,93.22676332,213.9151717,46.0913287,410.2389958,77.98204959,166,2.703576136,1.0,0.0,1.0,0.0
4,0.581216783,64.45,4.76307649,144.9893556,114.1299734,20.8929885,392.5738872,79.68625882,156,4.204691313,0.0,1.0,1.0,0.0
5,0.4224,68.28,4.791032923,160.0977023,109.4735468,36.08700187,367.3343059,73.11446379,182,4.642833367,0.0,1.0,1.0,0.0
6,0.658789773,60.76,4.323281932,145.8460866,107.9623772,28.11364924,395.5182046,81.33573907,148,4.229536513,0.0,1.0,0.0,1.0
7,0.538741004,62.31,5.006893403,137.6943769,98.49206804,41.39462327,400.2554582,79.0226986,147,3.993136929,0.0,1.0,0.0,1.0
